f1,prevalence,balanced_matrix_TP,balanced_matrix_FP,balanced_matrix_FN,balanced_matrix_TN,balanced_score_kappa_k,balanced_score_kappa_enum,balanced_score_f1,balanced_score_ppv,balanced_score_recall,balanced_score_specificity,max_precision_matrix_TP,max_precision_matrix_FP,max_precision_matrix_FN,max_precision_matrix_TN,max_precision_score_kappa_k,max_precision_score_kappa_enum,max_precision_score_f1,max_precision_score_ppv,max_precision_score_recall,max_precision_score_specificity,max_recall_matrix_TP,max_recall_matrix_FP,max_recall_matrix_FN,max_recall_matrix_TN,max_recall_score_kappa_k,max_recall_score_kappa_enum,max_recall_score_f1,max_recall_score_ppv,max_recall_score_recall,max_recall_score_specificity
0.8,0.001,80,20,20,99880,0.8,substantial,0.8,0.8,0.8,1.0,67,0,33,99900,0.802,substantial,0.802,1.0,0.67,1.0,100,50,0,99850,0.8,substantial,0.8,0.667,1.0,0.999
0.8,0.01,800,200,200,98800,0.798,substantial,0.8,0.8,0.8,0.998,667,0,333,99000,0.799,substantial,0.8,1.0,0.667,1.0,1000,500,0,98500,0.798,substantial,0.8,0.667,1.0,0.995
0.8,0.05,4000,1000,1000,94000,0.789,substantial,0.8,0.8,0.8,0.989,3333,0,1667,95000,0.792,substantial,0.8,1.0,0.667,1.0,5000,2500,0,92500,0.787,substantial,0.8,0.667,1.0,0.974
0.8,0.1,8000,2000,2000,88000,0.778,substantial,0.8,0.8,0.8,0.978,6667,0,3333,90000,0.783,substantial,0.8,1.0,0.667,1.0,10000,5000,0,85000,0.773,substantial,0.8,0.667,1.0,0.944
0.8,0.2,16000,4000,4000,76000,0.75,substantial,0.8,0.8,0.8,0.95,13333,0,6667,80000,0.762,substantial,0.8,1.0,0.667,1.0,20000,10000,0,70000,0.737,substantial,0.8,0.667,1.0,0.875
0.8,0.3,24000,6000,6000,64000,0.714,substantial,0.8,0.8,0.8,0.914,20000,0,10000,70000,0.737,substantial,0.8,1.0,0.667,1.0,30000,15000,0,55000,0.687,substantial,0.8,0.667,1.0,0.786
0.8,0.4,32000,8000,8000,52000,0.667,substantial,0.8,0.8,0.8,0.867,26667,0,13333,60000,0.706,substantial,0.8,1.0,0.667,1.0,40000,20000,0,40000,0.615,substantial,0.8,0.667,1.0,0.667
0.8,0.5,40000,10000,10000,40000,0.6,moderate,0.8,0.8,0.8,0.8,33333,0,16667,50000,0.667,substantial,0.8,1.0,0.667,1.0,50000,25000,0,25000,0.5,moderate,0.8,0.667,1.0,0.5
0.8,0.6,48000,12000,12000,28000,0.5,moderate,0.8,0.8,0.8,0.7,40000,0,20000,40000,0.615,substantial,0.8,1.0,0.667,1.0,60000,30000,0,10000,0.286,fair,0.8,0.667,1.0,0.25
0.8,0.7,56000,14000,14000,16000,0.333,fair,0.8,0.8,0.8,0.533,46667,0,23333,30000,0.545,moderate,0.8,1.0,0.667,1.0,66667,30000,3333,0,-0.064,no,0.8,0.69,0.952,0.0
0.8,0.8,64000,16000,16000,4000,-0.0,no,0.8,0.8,0.8,0.2,53333,0,26667,20000,0.444,moderate,0.8,1.0,0.667,1.0,66667,20000,13333,0,-0.19,no,0.8,0.769,0.833,0.0
0.85,0.001,85,15,15,99885,0.85,near_perfect,0.85,0.85,0.85,1.0,74,0,26,99900,0.85,near_perfect,0.851,1.0,0.74,1.0,100,35,0,99865,0.851,near_perfect,0.851,0.741,1.0,1.0
0.85,0.01,850,150,150,98850,0.848,near_perfect,0.85,0.85,0.85,0.998,739,0,261,99000,0.849,near_perfect,0.85,1.0,0.739,1.0,1000,353,0,98647,0.848,near_perfect,0.85,0.739,1.0,0.996
0.85,0.05,4250,750,750,94250,0.842,near_perfect,0.85,0.85,0.85,0.992,3696,0,1304,95000,0.843,near_perfect,0.85,1.0,0.739,1.0,5000,1765,0,93235,0.841,near_perfect,0.85,0.739,1.0,0.981
0.85,0.1,8500,1500,1500,88500,0.833,near_perfect,0.85,0.85,0.85,0.983,7391,0,2609,90000,0.836,near_perfect,0.85,1.0,0.739,1.0,10000,3529,0,86471,0.831,near_perfect,0.85,0.739,1.0,0.961
0.85,0.2,17000,3000,3000,77000,0.812,near_perfect,0.85,0.85,0.85,0.963,14783,0,5217,80000,0.819,near_perfect,0.85,1.0,0.739,1.0,20000,7059,0,72941,0.805,substantial,0.85,0.739,1.0,0.912
0.85,0.3,25500,4500,4500,65500,0.786,substantial,0.85,0.85,0.85,0.936,22174,0,7826,70000,0.799,substantial,0.85,1.0,0.739,1.0,30000,10588,0,59412,0.771,substantial,0.85,0.739,1.0,0.849
0.85,0.4,34000,6000,6000,54000,0.75,substantial,0.85,0.85,0.85,0.9,29565,0,10435,60000,0.773,substantial,0.85,1.0,0.739,1.0,40000,14118,0,45882,0.722,substantial,0.85,0.739,1.0,0.765
0.85,0.5,42500,7500,7500,42500,0.7,substantial,0.85,0.85,0.85,0.85,36957,0,13043,50000,0.739,substantial,0.85,1.0,0.739,1.0,50000,17647,0,32353,0.647,substantial,0.85,0.739,1.0,0.647
0.85,0.6,51000,9000,9000,31000,0.625,substantial,0.85,0.85,0.85,0.775,44348,0,15652,40000,0.694,substantial,0.85,1.0,0.739,1.0,60000,21176,0,18824,0.516,moderate,0.85,0.739,1.0,0.471
0.85,0.7,59500,10500,10500,19500,0.5,moderate,0.85,0.85,0.85,0.65,51739,0,18261,30000,0.63,substantial,0.85,1.0,0.739,1.0,70000,24706,0,5294,0.231,fair,0.85,0.739,1.0,0.176
0.85,0.8,68000,12000,12000,8000,0.25,fair,0.85,0.85,0.85,0.4,59130,0,20870,20000,0.531,moderate,0.85,1.0,0.739,1.0,73913,20000,6087,0,-0.103,no,0.85,0.787,0.924,0.0
0.9,0.001,90,10,10,99890,0.9,near_perfect,0.9,0.9,0.9,1.0,82,0,18,99900,0.901,near_perfect,0.901,1.0,0.82,1.0,100,22,0,99878,0.901,near_perfect,0.901,0.82,1.0,1.0
0.9,0.01,900,100,100,98900,0.899,near_perfect,0.9,0.9,0.9,0.999,818,0,182,99000,0.899,near_perfect,0.9,1.0,0.818,1.0,1000,222,0,98778,0.899,near_perfect,0.9,0.818,1.0,0.998
0.9,0.05,4500,500,500,94500,0.895,near_perfect,0.9,0.9,0.9,0.995,4091,0,909,95000,0.895,near_perfect,0.9,1.0,0.818,1.0,5000,1111,0,93889,0.894,near_perfect,0.9,0.818,1.0,0.988
0.9,0.1,9000,1000,1000,89000,0.889,near_perfect,0.9,0.9,0.9,0.989,8182,0,1818,90000,0.89,near_perfect,0.9,1.0,0.818,1.0,10000,2222,0,87778,0.888,near_perfect,0.9,0.818,1.0,0.975
0.9,0.2,18000,2000,2000,78000,0.875,near_perfect,0.9,0.9,0.9,0.975,16364,0,3636,80000,0.878,near_perfect,0.9,1.0,0.818,1.0,20000,4444,0,75556,0.872,near_perfect,0.9,0.818,1.0,0.944
0.9,0.3,27000,3000,3000,67000,0.857,near_perfect,0.9,0.9,0.9,0.957,24545,0,5455,70000,0.863,near_perfect,0.9,1.0,0.818,1.0,30000,6667,0,63333,0.851,near_perfect,0.9,0.818,1.0,0.905
0.9,0.4,36000,4000,4000,56000,0.833,near_perfect,0.9,0.9,0.9,0.933,32727,0,7273,60000,0.844,near_perfect,0.9,1.0,0.818,1.0,40000,8889,0,51111,0.821,near_perfect,0.9,0.818,1.0,0.852
0.9,0.5,45000,5000,5000,45000,0.8,substantial,0.9,0.9,0.9,0.9,40909,0,9091,50000,0.818,near_perfect,0.9,1.0,0.818,1.0,50000,11111,0,38889,0.778,substantial,0.9,0.818,1.0,0.778
0.9,0.6,54000,6000,6000,34000,0.75,substantial,0.9,0.9,0.9,0.85,49091,0,10909,40000,0.783,substantial,0.9,1.0,0.818,1.0,60000,13333,0,26667,0.706,substantial,0.9,0.818,1.0,0.667
0.9,0.7,63000,7000,7000,23000,0.667,substantial,0.9,0.9,0.9,0.767,57273,0,12727,30000,0.73,substantial,0.9,1.0,0.818,1.0,70000,15556,0,14444,0.565,moderate,0.9,0.818,1.0,0.481
0.9,0.8,72000,8000,8000,12000,0.5,moderate,0.9,0.9,0.9,0.6,65455,0,14545,20000,0.643,substantial,0.9,1.0,0.818,1.0,80000,17778,0,2222,0.167,slight,0.9,0.818,1.0,0.111
0.9,0.9,81000,9000,9000,1000,-0.0,no,0.9,0.9,0.9,0.1,73636,0,16364,10000,0.474,moderate,0.9,1.0,0.818,1.0,81818,10000,8182,0,-0.099,no,0.9,0.891,0.909,0.0
0.95,0.001,95,5,5,99895,0.95,near_perfect,0.95,0.95,0.95,1.0,90,0,10,99900,0.947,near_perfect,0.947,1.0,0.9,1.0,100,11,0,99889,0.948,near_perfect,0.948,0.901,1.0,1.0
0.95,0.01,950,50,50,98950,0.949,near_perfect,0.95,0.95,0.95,0.999,905,0,95,99000,0.95,near_perfect,0.95,1.0,0.905,1.0,1000,105,0,98895,0.95,near_perfect,0.95,0.905,1.0,0.999
0.95,0.05,4750,250,250,94750,0.947,near_perfect,0.95,0.95,0.95,0.997,4524,0,476,95000,0.948,near_perfect,0.95,1.0,0.905,1.0,5000,526,0,94474,0.947,near_perfect,0.95,0.905,1.0,0.994
